number,cp
107,0.6483192419612718
108,-0.503160512263209
109,0.38848994409888604
110,0.4039578077546595
111,0.28813679614038223
112,0.3515792636818742
113,0.7060255894266185
114,0.2397167390150925
115,-0.9706605875281695
116,-0.9587647190904685
117,0.5519335645255325
118,-0.12049371971491452
119,-0.47208939109865455
120,0.16329323453874833
121,-0.3855808993720251
122,0.35614839448310387
123,-0.6660991312208766
124,0.09774921523412661
125,0.12435997066712345
126,-0.19510193875336745
127,-0.919783751225026
128,-0.6889886948467587
129,-0.11016839315241134
130,-0.6843970781555779
131,0.08665866891922125
132,0.8278560111279012
133,0.9350566502613578
134,0.7989640838676917
259,0.603946075605533
260,0.11628358458581967
261,0.4341269705586157
262,0.6909158651099023
263,0.36386523466829557
264,0.9211602968488646
265,-0.53699951462134
266,0.020730829879633594
267,0.8405723331464987
268,0.401137019188756
269,-0.1599031826192876
270,0.5274986971361297
271,-0.5107317649534713
272,-0.2723079659841132
